id,name_de,name,name_de_html,category,co2_for_16fu_without_air,co2_for_100g_without_air,co2_base,sum_transport_for_16fu,land_transport,sea_transport,air_transport,food_unit,energy_in_kcal,kcal_for_16fu,weight_for_16fu,co2_for_100kcal_without_air
vollweizengriess,Vollweizengrieß,Whole wheat semolina,Vollweizengrieß,starches & bread,141,55.35,48.0,19,5.3,2.02,0.0,0.63,355.88,904,254,15.597345132743364
weissmehl,Weißmehl,White flour,Weißmehl,starches & bread,202,78.35,71.0,19,5.3,2.02,0.0,0.62,351.1,906,258,22.29580573951435
weizen,Weizen,Wheat,Weizen,starches & bread,166,60.35,53.0,20,5.3,2.02,0.0,0.58,327.22,903,276,18.383167220376524
weizenmehl,Weizenvollkornmehl,Wheat flour (type 812),Weizenvollkornmehl,starches & bread,202,78.35,71.0,19,5.3,2.02,0.0,0.62,351.0,906,258,22.29580573951435
algen,Algen,Seaweed,Algen,vegetables & mushrooms,1027,89.87,36.0,616,27.8,26.06,0.0,0.14,53.26,609,1143,168.63711001642037
artischocken,Artischocken,Artichokes,Arti&shy;schocken,vegetables & mushrooms,304,28.47,20.0,90,8.5,0.0,0.0,0.15,12.0,128,1067,237.5
artischockenherzen,Artischockenherzen,Artichoke hearts,Artischockenherzen,vegetables & mushrooms,843,68.47,60.0,104,8.5,0.0,0.0,0.13,25.0,308,1231,273.7012987012987
aubergine,Aubergine,Aubergine,Aubergine,vegetables & mushrooms,983,61.41,46.0,247,14.7,0.75,44.97,0.1,19.03,304,1600,323.35526315789474
austernpilz,Austernpilz,Oyster mushroom,Austern&shy;pilz,vegetables & mushrooms,1534,121.73,117.0,60,4.7,0.0,0.0,0.127,25.5,321,1260,477.8816199376947
avocado,Avocado,Avocado,Avocado,vegetables & mushrooms,457,93.38,54.3,191,29.9,9.2,0.0,0.327,141.97,695,489,65.75539568345324
batavia_salat,Batavia Salat,Batavia lettuce,Batavia Salat,vegetables & mushrooms,465,26.18,20.0,110,6.2,0.0,0.0,0.09,12.68,225,1778,206.66666666666663
blumenkohl,Blumenkohl,Cauliflower,Blumenkohl,vegetables & mushrooms,476,38.65,33.0,70,5.7,0.0,0.0,0.13,16.29,200,1231,238.0
brennnesseln,Brennnesseln,Nettles,Brennnesseln,vegetables & mushrooms,138,17.19,11.0,50,6.1,0.06,3.59,0.2,50.4,403,800,34.24317617866005
brokkoli,Brokkoli,Broccoli,Brokkoli,vegetables & mushrooms,499,43.65,38.0,65,5.7,0.0,0.0,0.14,19.09,218,1143,228.89908256880733
brunnenkresse,Brunnenkresse,Watercress,Brunnenkresse,vegetables & mushrooms,509,31.81,21.0,173,7.8,3.0,179.77,0.1,16.96,271,1600,187.8228782287823
butternut,Butternut,Butternut,Butternut,vegetables & mushrooms,119,8.62,5.14,48,3.5,0.0,0.0,0.116,49.0,676,1379,17.60355029585799
